category,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
bottle,0.023194694891572,1.0,0.963855421686747,0.85,1.0,0.9478315524827152
cable,0.1001969575881958,0.9846326836581709,0.9333333333333333,0.9827586206896551,0.9021739130434783,0.9312683284457478
capsule,0.032199736684560776,0.9373753490227364,0.8181818181818182,0.8695652173913043,0.8073394495412844,0.7525
carpet,0.026402074843645096,0.9241573033707864,0.8376068376068376,0.5357142857142857,0.9325842696629213,0.7547710976282405
grid,0.054523687809705734,0.8245614035087719,0.6538461538461539,0.9523809523809523,0.543859649122807,0.6468220694281401
hazelnut,0.13282811641693115,0.9992857142857142,0.9818181818181818,1.0,0.9714285714285714,0.9805585012371862
leather,0.025657277554273605,0.921875,0.7903225806451613,0.25,0.9782608695652174,0.6273693943596856
metal_nut,0.07996291667222977,0.9804496578690127,0.9043478260869565,1.0,0.8817204301075269,0.8685714285714285
pill,0.06228291243314743,0.9217130387343152,0.7005988023952096,1.0,0.6453900709219859,0.6471433400946585
screw,0.0808892473578453,0.8532486165197787,0.3125,1.0,0.07563025210084033,0.28385416666666663
tile,0.06006038933992386,0.9927849927849928,0.9487179487179487,0.9696969696969697,0.9404761904761905,0.9388501742160278
toothbrush,0.05408143252134323,0.8944444444444445,0.7857142857142857,0.75,0.8,0.7543859649122806
transistor,0.09680522233247757,0.9858333333333333,0.89,1.0,0.725,0.8783051222480363
wood,0.045799076557159424,0.9798245614035088,0.8987341772151899,0.6842105263157895,0.9666666666666667,0.8500948766603416
zipper,0.024298595264554024,0.9737394957983193,0.9337748344370861,0.84375,0.957983193277311,0.9008665966386555
