img_size,feature_choice,patch_grid,patch_top_fraction,mean_auroc,min_auroc,mean_macro_f1
512,last2,20,0.03,0.9231139724449587,0.8813700918964077,0.5860809509649251
512,last2,20,0.05,0.9196118082684211,0.87468671679198,0.5936917298692572
512,last3,20,0.03,0.9192542645573327,0.9008152173913042,0.6202282830586258
512,last2,8,0.01,0.918823033346972,0.8922305764411028,0.6159741418657133
512,last2,8,0.03,0.917561139297284,0.8897243107769424,0.618992392445618
512,last3,20,0.05,0.9126191006270222,0.8902853260869564,0.6083262411110903
512,last1,20,0.03,0.9123854497328671,0.8011695906432749,0.6107302866795015
512,last2,8,0.05,0.9123481589000327,0.8926630434782609,0.588124256502216
512,last1,20,0.05,0.9112679049442539,0.7978279030910611,0.6149068058858511
512,last2,20,0.01,0.9096958046400344,0.8379281537176275,0.589347848264184
512,last3,8,0.03,0.9092372330148951,0.8879076086956521,0.5996741381281674
512,last3,8,0.01,0.908070243576768,0.888586956521739,0.6120150229017262
384,last2,20,0.03,0.9077332525026671,0.8178780284043442,0.6126719646948724
512,last1,8,0.03,0.9064618241336764,0.7986633249791145,0.6209915790822608
512,last3,20,0.01,0.9057339456079226,0.8721804511278195,0.6090725369401839
384,last2,20,0.01,0.9056065251353589,0.8145363408521303,0.6317808630128987
512,last2,20,0.1,0.9037029820882893,0.8588137009189641,0.5854253953201322
512,last1,8,0.05,0.9029398997075541,0.7886382623224729,0.5949147256876771
384,last2,20,0.05,0.9027358134952393,0.8103592314118631,0.6008384641546272
384,last1,20,0.03,0.9022651216227441,0.7994987468671679,0.6215062878711178
512,last3,8,0.05,0.9021716716552224,0.8729619565217392,0.5838696378574748
512,last2,14,0.03,0.90209283555469,0.8629908103592314,0.5907417480055769
512,last1,8,0.01,0.9014765080840619,0.7953216374269007,0.6139500303233537
512,last1,20,0.01,0.9005183352599376,0.7736006683375104,0.5996903639552722
512,last1,14,0.05,0.9003323463612543,0.7736006683375105,0.6166398825618276
512,last2,14,0.05,0.9002853401764511,0.8696741854636593,0.5930593610685502
384,last1,20,0.05,0.8995639825062053,0.7961570593149541,0.6269740791624292
512,last1,20,0.1,0.8994147408497012,0.7685881370091896,0.6138347506072972
512,last1,14,0.03,0.8983475018626346,0.7710944026733502,0.5904009223840139
512,last2,8,0.1,0.8983266257957269,0.8705096073517127,0.5729230765900143
384,last1,20,0.01,0.8980264008551864,0.7761069340016709,0.6353293982007411
512,last1,8,0.1,0.8950719430971503,0.7685881370091896,0.5788839877208309
384,last3,8,0.01,0.8929356771398702,0.8428805237315874,0.6024069270398448
384,last2,8,0.01,0.8924180694826822,0.8415658946505431,0.5988029464198965
512,last3,20,0.1,0.8916782385782381,0.8610733695652174,0.584697714235949
384,last3,20,0.03,0.8910475066143697,0.7786131996658312,0.6168290244964434
384,last1,8,0.05,0.8908437075080913,0.8312447786131997,0.5852231120854086
384,last1,20,0.1,0.8905152100772,0.7677527151211362,0.6072280310173547
384,last1,14,0.05,0.8900808799200727,0.772765246449457,0.6085791798466136
512,last1,14,0.1,0.889662729572726,0.7593984962406015,0.6012109401686052
384,last1,8,0.03,0.8894203122326256,0.8329575732732117,0.5943760007633555
384,last2,14,0.05,0.8891110724267305,0.8245614035087719,0.5919920136354783
384,last1,14,0.03,0.8889071247704694,0.7769423558897244,0.6086400889028258
384,last2,8,0.03,0.8888308343061058,0.8376716540274645,0.5920692651915536
384,last3,20,0.01,0.8883323277083095,0.7535505430242273,0.6239938702404487
384,last2,8,0.05,0.8874574746823279,0.8384914941586391,0.5850070079425566
512,last3,14,0.03,0.8874084728365395,0.8772289403566305,0.583389452614373
384,last2,20,0.1,0.8873343791333473,0.7777777777777778,0.583675720190315
384,last2,14,0.03,0.8871232032352806,0.8070175438596492,0.6155798283956082
384,last3,8,0.03,0.8854940523066283,0.8485345357655257,0.5943750774166023
512,last2,14,0.01,0.8853406240999899,0.7861319966583125,0.5587230732835874
384,last3,20,0.05,0.8851735522530868,0.7752715121136174,0.6015684119618863
512,last1,14,0.01,0.8847297825776979,0.7293233082706767,0.5762305455461346
384,last1,8,0.1,0.8846619394597577,0.8003341687552215,0.5662076140297668
512,last2,14,0.1,0.8844847250943723,0.8429406850459482,0.5649805795935775
512,last3,14,0.05,0.8838721455644716,0.8710801393728222,0.5853600734788684
512,last3,8,0.1,0.8838628148230437,0.8529211956521738,0.5716946332173697
384,last1,8,0.01,0.8826912533933609,0.8300881328141012,0.5796377896595726
384,last2,8,0.1,0.8819340611913237,0.8290633326501332,0.5549416166105985
384,last1,14,0.1,0.8818181643235384,0.7552213868003341,0.5837610287149027
512,last3,14,0.01,0.8803557379890972,0.8345864661654134,0.5627446977722004
384,last1,14,0.01,0.8792166461026298,0.7610693400167085,0.5965061234207194
384,last3,8,0.05,0.879154669931341,0.8393113342898135,0.5776767379500614
384,last2,14,0.1,0.877252612940383,0.8011695906432749,0.5732211435441251
384,last2,14,0.01,0.8756392207447469,0.7861319966583125,0.5986851981521862
384,last3,20,0.1,0.8745205210545061,0.77109440267335,0.57270137716508
384,last3,8,0.1,0.8741600998001047,0.8231194916991188,0.536107206030719
384,last3,14,0.05,0.8640748090193412,0.7827903091060986,0.5802325106221261
512,last3,14,0.1,0.8627262235256742,0.8341873334699734,0.5341837937584409
384,last3,14,0.03,0.8602326451227459,0.7644110275689222,0.5946948510013877
384,last3,14,0.1,0.8552307352225643,0.7719298245614035,0.5447735939308715
224,last2,8,0.1,0.8485743696411203,0.7084377610693401,0.5884767797715126
224,last2,8,0.05,0.8477538283004742,0.7042606516290727,0.5937931866804851
224,last2,20,0.03,0.845775948400102,0.6984126984126984,0.6268984188930637
384,last3,14,0.01,0.8449473638232515,0.7360066833751044,0.5724387335876014
224,last2,20,0.05,0.8447335095220054,0.706766917293233,0.6249135879240887
224,last2,14,0.05,0.8444304127140377,0.6883876357560568,0.6316733594804722
224,last2,14,0.03,0.8435318758011687,0.6791979949874687,0.6356365199195155
224,last2,14,0.1,0.8432104235294391,0.6984126984126985,0.6004634729813364
224,last2,20,0.01,0.8421135579949495,0.6758563074352548,0.6001776297362051
224,last3,8,0.1,0.8414514456739621,0.6967418546365916,0.5545539334238305
224,last2,8,0.03,0.8413269618284243,0.6791979949874687,0.581757881018659
224,last1,20,0.05,0.8397464076473474,0.6374269005847952,0.6367250136621587
224,last2,20,0.1,0.8383827186812678,0.6950710108604846,0.6347910233902809
224,last3,8,0.05,0.8379120580138555,0.6892230576441103,0.5777872896754753
224,last1,20,0.03,0.8361255962587517,0.6148705096073517,0.6450878865623934
224,last1,20,0.1,0.8353660606045665,0.6365914786967419,0.6224600004722334
224,last1,20,0.01,0.8345235716017341,0.6240601503759399,0.6001656304402906
224,last3,20,0.05,0.8336315072516882,0.697577276524645,0.5965653599316039
224,last3,8,0.03,0.832116756733803,0.6675020885547202,0.5615429672112731
224,last3,20,0.03,0.8321002136081054,0.6833751044277361,0.5991843776635694
224,last1,8,0.1,0.8318331903949353,0.6240601503759399,0.5921090904296535
224,last2,14,0.01,0.8318076369518559,0.658312447786132,0.6082852196706396
224,last1,14,0.05,0.831802693253735,0.617376775271512,0.6339575665899532
224,last3,20,0.01,0.8315528212862962,0.6733500417710944,0.5914412902152344
224,last1,14,0.1,0.8309569695498984,0.6274018379281537,0.6126873379686679
224,last2,8,0.01,0.8299966855844444,0.6432748538011696,0.5666563815374518
224,last1,14,0.03,0.8293207876195787,0.6040100250626566,0.6275865515991164
224,last3,20,0.1,0.8282335855163694,0.6892230576441103,0.5861728305633005
224,last3,14,0.1,0.8277760631747512,0.6908939014202172,0.5680626921967792
224,last1,8,0.05,0.8259545422702919,0.609857978279031,0.6270604994271205
224,last3,14,0.05,0.8258050591795689,0.6741854636591479,0.5987127813375492
224,last1,14,0.01,0.8253205556018404,0.5839598997493733,0.6115142631405057
224,last3,14,0.03,0.8233702647737239,0.659983291562239,0.5923804602302317
224,last1,8,0.03,0.8169999814004946,0.5806182121971596,0.6137156832392633
224,last3,8,0.01,0.8136397446851943,0.6098579782790309,0.5176566252385668
224,last3,14,0.01,0.8120676275963945,0.6357560568086884,0.5771420211262301
224,last1,8,0.01,0.8099395658749312,0.5680868838763575,0.5993675005251482
