category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
grid,224,last1,8,0.01,0.0269312784075737,0.5680868838763575,0.3076923076923077,0.9047619047619048,0.08771929824561403,0.2846467391304348
grid,224,last1,8,0.03,0.020707860589027405,0.5806182121971596,0.3717948717948718,0.8095238095238095,0.21052631578947367,0.36920283875226934
grid,224,last1,8,0.05,0.016898415982723236,0.609857978279031,0.48717948717948717,0.8095238095238095,0.3684210526315789,0.4858272907053395
grid,224,last1,8,0.1,0.014801453799009323,0.6240601503759399,0.47435897435897434,0.8095238095238095,0.3508771929824561,0.47358024691358025
grid,224,last1,14,0.01,0.024681907147169113,0.5839598997493733,0.3717948717948718,0.9047619047619048,0.17543859649122806,0.36331834082958525
grid,224,last1,14,0.03,0.0187046118080616,0.6040100250626566,0.46153846153846156,0.8095238095238095,0.3333333333333333,0.46118421052631575
grid,224,last1,14,0.05,0.015883376821875572,0.617376775271512,0.5256410256410257,0.8095238095238095,0.42105263157894735,0.5217895608947805
grid,224,last1,14,0.1,0.014367789030075073,0.6274018379281537,0.5,0.8095238095238095,0.38596491228070173,0.49793695329262255
grid,224,last1,20,0.01,0.03035472333431244,0.6240601503759399,0.3333333333333333,0.9523809523809523,0.10526315789473684,0.31114130434782605
grid,224,last1,20,0.03,0.021035775542259216,0.6148705096073517,0.3974358974358974,0.8095238095238095,0.24561403508771928,0.39654320987654323
grid,224,last1,20,0.05,0.017833523452281952,0.6374269005847952,0.44871794871794873,0.7619047619047619,0.3333333333333333,0.4479012345679012
grid,224,last1,20,0.1,0.015274235978722572,0.6365914786967419,0.47435897435897434,0.7619047619047619,0.3684210526315789,0.4721901303845519
grid,224,last2,8,0.01,0.04538314417004585,0.6432748538011696,0.38461538461538464,0.9523809523809523,0.17543859649122806,0.37433155080213903
grid,224,last2,8,0.03,0.037955280393362045,0.6791979949874687,0.4358974358974359,0.9047619047619048,0.2631578947368421,0.43441001977587346
grid,224,last2,8,0.05,0.030850473791360855,0.7042606516290727,0.48717948717948717,0.9047619047619048,0.3333333333333333,0.48717948717948717
grid,224,last2,8,0.1,0.027106638997793198,0.7084377610693401,0.5256410256410257,0.9047619047619048,0.38596491228070173,0.5249382716049382
grid,224,last2,14,0.01,0.04497210308909416,0.658312447786132,0.47435897435897434,0.9523809523809523,0.2982456140350877,0.47358024691358025
grid,224,last2,14,0.03,0.036308325827121735,0.6791979949874687,0.5256410256410257,0.9047619047619048,0.38596491228070173,0.5249382716049382
grid,224,last2,14,0.05,0.03275062143802643,0.6883876357560568,0.5256410256410257,0.9047619047619048,0.38596491228070173,0.5249382716049382
grid,224,last2,14,0.1,0.02754700742661953,0.6984126984126985,0.5256410256410257,0.9047619047619048,0.38596491228070173,0.5249382716049382
grid,224,last2,20,0.01,0.04987772926688194,0.6758563074352548,0.46153846153846156,0.9523809523809523,0.2807017543859649,0.46011865524060647
grid,224,last2,20,0.03,0.038098350167274475,0.6984126984126984,0.5384615384615384,0.9047619047619048,0.40350877192982454,0.5372445616348056
grid,224,last2,20,0.05,0.0336386077105999,0.706766917293233,0.5512820512820513,0.9047619047619048,0.42105263157894735,0.5494305991087638
grid,224,last2,20,0.1,0.028317218646407127,0.6950710108604846,0.5897435897435898,0.9047619047619048,0.47368421052631576,0.5853820598006645
grid,224,last3,8,0.01,0.05248995125293732,0.6098579782790309,0.358974358974359,1.0,0.12280701754385964,0.3376358695652174
grid,224,last3,8,0.03,0.04211020469665527,0.6675020885547202,0.3974358974358974,0.9047619047619048,0.21052631578947367,0.3925434962717481
grid,224,last3,8,0.05,0.033975426107645035,0.6892230576441103,0.47435897435897434,0.9047619047619048,0.3157894736842105,0.47427256288015784
grid,224,last3,8,0.1,0.029177440330386162,0.6967418546365916,0.48717948717948717,0.9047619047619048,0.3333333333333333,0.48717948717948717
grid,224,last3,14,0.01,0.0443643257021904,0.6357560568086884,0.41025641025641024,0.9047619047619048,0.22807017543859648,0.40674603174603174
grid,224,last3,14,0.03,0.03464251384139061,0.659983291562239,0.5128205128205128,0.8571428571428571,0.38596491228070173,0.5115359261700725
grid,224,last3,14,0.05,0.03148946166038513,0.6741854636591479,0.5128205128205128,0.8571428571428571,0.38596491228070173,0.5115359261700725
grid,224,last3,14,0.1,0.02820146642625332,0.6908939014202172,0.5,0.8571428571428571,0.3684210526315789,0.49925925925925924
grid,224,last3,20,0.01,0.05310417339205742,0.6733500417710944,0.3717948717948718,0.9523809523809523,0.15789473684210525,0.3590474593325507
grid,224,last3,20,0.03,0.039126358926296234,0.6833751044277361,0.5,0.8571428571428571,0.3684210526315789,0.49925925925925924
grid,224,last3,20,0.05,0.03483833000063896,0.697577276524645,0.5,0.8571428571428571,0.3684210526315789,0.49925925925925924
grid,224,last3,20,0.1,0.02889903634786606,0.6892230576441103,0.5256410256410257,0.8571428571428571,0.40350877192982454,0.5236837762006932
grid,384,last1,8,0.01,0.0632622167468071,0.8337510442773601,0.5,1.0,0.3157894736842105,0.49925925925925924
grid,384,last1,8,0.03,0.04023066163063049,0.8462823725981621,0.5512820512820513,1.0,0.38596491228070173,0.5512082853855005
grid,384,last1,8,0.05,0.02936665341258049,0.8312447786131997,0.6025641025641025,0.9523809523809523,0.47368421052631576,0.5993371996685999
grid,384,last1,8,0.1,0.02517985738813877,0.8003341687552215,0.5769230769230769,0.9523809523809523,0.43859649122807015,0.5751774220168344
